date,foodItem,preparedQty,consumedQty,wastedQty,dayOfWeek
2026-02-01,Rice,120,105,15,Sunday
2026-02-01,Dal,80,72,8,Sunday
2026-02-01,Chapati,200,180,20,Sunday
2026-02-01,Sabzi,90,82,8,Sunday
2026-02-02,Rice,130,118,12,Monday
2026-02-02,Dal,85,78,7,Monday
2026-02-02,Chapati,220,205,15,Monday
2026-02-02,Sabzi,95,88,7,Monday
2026-02-03,Rice,140,128,12,Tuesday
2026-02-03,Dal,90,84,6,Tuesday
2026-02-03,Chapati,230,215,15,Tuesday
2026-02-03,Sabzi,100,93,7,Tuesday
2026-02-04,Rice,145,135,10,Wednesday
2026-02-04,Dal,92,87,5,Wednesday
2026-02-04,Chapati,240,228,12,Wednesday
2026-02-04,Sabzi,105,99,6,Wednesday
2026-02-05,Rice,150,142,8,Thursday
2026-02-05,Dal,95,91,4,Thursday
2026-02-05,Chapati,250,240,10,Thursday
2026-02-05,Sabzi,110,105,5,Thursday
2026-02-06,Rice,160,152,8,Friday
2026-02-06,Dal,100,96,4,Friday
2026-02-06,Chapati,260,250,10,Friday
2026-02-06,Sabzi,115,110,5,Friday
2026-02-07,Rice,110,98,12,Saturday
2026-02-07,Dal,75,68,7,Saturday
2026-02-07,Chapati,180,165,15,Saturday
2026-02-07,Sabzi,85,78,7,Saturday
2026-02-08,Rice,115,102,13,Sunday
2026-02-08,Dal,78,70,8,Sunday
2026-02-08,Chapati,190,172,18,Sunday
2026-02-08,Sabzi,88,80,8,Sunday
2026-02-09,Rice,135,122,13,Monday
2026-02-09,Dal,88,81,7,Monday
2026-02-09,Chapati,225,208,17,Monday
2026-02-09,Sabzi,98,90,8,Monday
2026-02-10,Rice,138,126,12,Tuesday
2026-02-10,Dal,90,83,7,Tuesday
2026-02-10,Chapati,228,213,15,Tuesday
2026-02-10,Sabzi,100,92,8,Tuesday
2026-02-11,Rice,142,132,10,Wednesday
2026-02-11,Dal,93,88,5,Wednesday
2026-02-11,Chapati,235,223,12,Wednesday
2026-02-11,Sabzi,103,97,6,Wednesday
2026-02-12,Rice,148,140,8,Thursday
2026-02-12,Dal,96,92,4,Thursday
2026-02-12,Chapati,245,236,9,Thursday
2026-02-12,Sabzi,108,103,5,Thursday
2026-02-13,Rice,155,148,7,Friday
2026-02-13,Dal,98,95,3,Friday
2026-02-13,Chapati,255,247,8,Friday
2026-02-13,Sabzi,112,108,4,Friday
2026-02-14,Rice,108,95,13,Saturday
2026-02-14,Dal,73,66,7,Saturday
2026-02-14,Chapati,175,160,15,Saturday
2026-02-14,Sabzi,83,76,7,Saturday
2026-02-15,Rice,112,100,12,Sunday
2026-02-15,Dal,76,69,7,Sunday
2026-02-15,Chapati,185,168,17,Sunday
2026-02-15,Sabzi,86,79,7,Sunday
2026-02-16,Rice,132,120,12,Monday
2026-02-16,Dal,86,80,6,Monday
2026-02-16,Chapati,222,206,16,Monday
2026-02-16,Sabzi,96,89,7,Monday
2026-02-17,Rice,136,125,11,Tuesday
2026-02-17,Dal,89,82,7,Tuesday
2026-02-17,Chapati,226,211,15,Tuesday
2026-02-17,Sabzi,99,92,7,Tuesday
2026-02-18,Rice,140,130,10,Wednesday
2026-02-18,Dal,91,86,5,Wednesday
2026-02-18,Chapati,232,220,12,Wednesday
2026-02-18,Sabzi,102,96,6,Wednesday
2026-02-19,Rice,146,138,8,Thursday
2026-02-19,Dal,94,90,4,Thursday
2026-02-19,Chapati,242,233,9,Thursday
2026-02-19,Sabzi,106,101,5,Thursday
2026-02-20,Rice,152,145,7,Friday
2026-02-20,Dal,97,94,3,Friday
2026-02-20,Chapati,252,244,8,Friday
2026-02-20,Sabzi,110,106,4,Friday
2026-02-21,Rice,105,93,12,Saturday
2026-02-21,Dal,72,65,7,Saturday
2026-02-21,Chapati,172,157,15,Saturday
2026-02-21,Sabzi,82,75,7,Saturday
2026-02-22,Rice,110,98,12,Sunday
2026-02-22,Dal,75,68,7,Sunday
2026-02-22,Chapati,182,166,16,Sunday
2026-02-22,Sabzi,85,78,7,Sunday
2026-02-23,Rice,130,118,12,Monday
2026-02-23,Dal,85,79,6,Monday
2026-02-23,Chapati,220,204,16,Monday
2026-02-23,Sabzi,95,88,7,Monday
2026-02-24,Rice,134,123,11,Tuesday
2026-02-24,Dal,87,81,6,Tuesday
2026-02-24,Chapati,224,209,15,Tuesday
2026-02-24,Sabzi,97,90,7,Tuesday
2026-02-25,Rice,138,128,10,Wednesday
2026-02-25,Dal,90,85,5,Wednesday
2026-02-25,Chapati,230,218,12,Wednesday
2026-02-25,Sabzi,100,94,6,Wednesday
2026-02-26,Rice,144,136,8,Thursday
2026-02-26,Dal,93,89,4,Thursday
2026-02-26,Chapati,240,231,9,Thursday
2026-02-26,Sabzi,104,99,5,Thursday
2026-02-27,Rice,150,143,7,Friday
2026-02-27,Dal,96,93,3,Friday
2026-02-27,Chapati,250,242,8,Friday
2026-02-27,Sabzi,108,104,4,Friday
2026-02-28,Rice,103,91,12,Saturday
2026-02-28,Dal,70,64,6,Saturday
2026-02-28,Chapati,170,155,15,Saturday
2026-02-28,Sabzi,80,74,6,Saturday
2026-03-01,Rice,108,96,12,Sunday
2026-03-01,Dal,74,67,7,Sunday
2026-03-01,Chapati,180,164,16,Sunday
2026-03-01,Sabzi,84,77,7,Sunday
2026-03-02,Rice,128,116,12,Monday
2026-03-02,Dal,84,78,6,Monday
2026-03-02,Chapati,218,202,16,Monday
2026-03-02,Sabzi,94,87,7,Monday
2026-03-03,Rice,132,121,11,Tuesday
2026-03-03,Dal,86,80,6,Tuesday
2026-03-03,Chapati,222,207,15,Tuesday
2026-03-03,Sabzi,96,89,7,Tuesday
2026-03-04,Rice,136,126,10,Wednesday
2026-03-04,Dal,88,83,5,Wednesday
2026-03-04,Chapati,228,216,12,Wednesday
2026-03-04,Sabzi,98,92,6,Wednesday
2026-03-05,Rice,142,134,8,Thursday
2026-03-05,Dal,91,87,4,Thursday
2026-03-05,Chapati,238,229,9,Thursday
2026-03-05,Sabzi,102,97,5,Thursday
2026-03-06,Rice,148,141,7,Friday
2026-03-06,Dal,94,91,3,Friday
2026-03-06,Chapati,248,240,8,Friday
2026-03-06,Sabzi,106,102,4,Friday
2026-03-07,Rice,100,89,11,Saturday
2026-03-07,Dal,68,62,6,Saturday
2026-03-07,Chapati,168,153,15,Saturday
2026-03-07,Sabzi,78,72,6,Saturday
2026-03-08,Rice,105,94,11,Sunday
2026-03-08,Dal,72,66,6,Sunday
2026-03-08,Chapati,178,162,16,Sunday
2026-03-08,Sabzi,82,76,6,Sunday
2026-03-09,Rice,126,115,11,Monday
2026-03-09,Dal,82,76,6,Monday
2026-03-09,Chapati,216,200,16,Monday
2026-03-09,Sabzi,92,85,7,Monday
2026-03-10,Rice,130,119,11,Tuesday
2026-03-10,Dal,84,78,6,Tuesday
2026-03-10,Chapati,220,205,15,Tuesday
2026-03-10,Sabzi,94,87,7,Tuesday
2026-03-11,Rice,134,124,10,Wednesday
2026-03-11,Dal,86,81,5,Wednesday
2026-03-11,Chapati,226,214,12,Wednesday
2026-03-11,Sabzi,96,90,6,Wednesday
2025-12-01,Sabzi,92,80,12,Monday
2025-12-01,Pulao,130,122,8,Monday
2025-12-01,Sambar,68,63,5,Monday
2025-12-01,Dosa,77,71,6,Monday
2025-12-02,Chapati,217,204,13,Tuesday
2025-12-02,Pulao,127,111,16,Tuesday
2025-12-02,Idli,130,121,9,Tuesday
2025-12-02,Sambar,59,51,8,Tuesday
2025-12-03,Paratha,172,151,21,Wednesday
2025-12-03,Idli,161,150,11,Wednesday
2025-12-03,Curd Rice,54,48,6,Wednesday
2025-12-03,Rice,122,110,12,Wednesday
2025-12-04,Sabzi,70,63,7,Thursday
2025-12-04,Dosa,125,108,17,Thursday
2025-12-04,Dal,80,74,6,Thursday
2025-12-04,Idli,173,161,12,Thursday
2025-12-04,Chapati,209,184,25,Thursday
2025-12-04,Rice,127,117,10,Thursday
2025-12-05,Sambar,75,69,6,Friday
2025-12-05,Dosa,86,78,8,Friday
2025-12-05,Upma,62,57,5,Friday
2025-12-05,Idli,139,129,10,Friday
2025-12-05,Dal,81,71,10,Friday
2025-12-05,Chapati,259,243,16,Friday
2025-12-06,Pulao,116,69,47,Saturday
2025-12-06,Idli,121,80,41,Saturday
2025-12-06,Poha,63,38,25,Saturday
2025-12-06,Rice,104,63,41,Saturday
2025-12-06,Chapati,200,121,79,Saturday
2025-12-06,Dosa,104,68,36,Saturday
2025-12-07,Idli,157,96,61,Sunday
2025-12-07,Chapati,218,137,81,Sunday
2025-12-07,Paratha,190,121,69,Sunday
2025-12-07,Rice,135,89,46,Sunday
2025-12-07,Poha,80,52,28,Sunday
2025-12-07,Dal,100,60,40,Sunday
2025-12-08,Paratha,187,174,13,Monday
2025-12-08,Curd Rice,68,62,6,Monday
2025-12-08,Poha,87,76,11,Monday
2025-12-08,Sabzi,101,88,13,Monday
2025-12-08,Chapati,257,239,18,Monday
2025-12-09,Dal,91,81,10,Tuesday
2025-12-09,Upma,86,73,13,Tuesday
2025-12-09,Chapati,245,212,33,Tuesday
2025-12-09,Paratha,152,138,14,Tuesday
2025-12-09,Idli,147,129,18,Tuesday
2025-12-10,Sambar,68,57,11,Wednesday
2025-12-10,Poha,70,65,5,Wednesday
2025-12-10,Paratha,208,188,20,Wednesday
2025-12-10,Dal,95,87,8,Wednesday
